term,alt_term
Milwaukee Bucks,Bucks,
Denver Nuggets,Nuggets,
Boston Celtics,Celtics,
Memphis Grizzlies,Grizzlies,
Philadelphia 76ers,76ers,
Sacramento Kings,Kings,
Cleveland Cavaliers,Cavaliers,
Phoenix Suns,Suns,
New York Knicks,Knicks,
LA Clippers,Clippers,
Brooklyn Nets,Nets,
Golden State Warriors,Warriors,
Atlanta Hawks,Hawks,
LA Lakers,Lakers,
Miami Heat,Heat,
Minnesota Timberwolves,Timberwolves,
